"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"1","Respondent 1","I give consent to take part in this study",64,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","7","7","7","7","7","7",NA,12,12,2,2,2,"Yes",7,7,6,7,7,NA,"Peaceful beautiful useful","Natural mindful restful","Ducks, moorhens, birds, insects, frogs","Newts, frogs, deer, bank voles, birds","I already do","Clear rubbish, encourage litter picking, information boards, picnic areas","2025-02-26 10:56:10 UTC","2025-02-26 11:11:10 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"2","Respondent 2","I give consent to take part in this study",43,"Female","Yes","Hu17","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","7","7","7","7","7","5",NA,2,2,1,1,1,"Yes",7,7,7,7,7,"Nature watching,Photography,Rock pooling","Managed village pond","River Hull wildlife","Plenty of birdlife (songbirds, ducks, waders, rails, kingfisher etc), rats, water voles, rabbits, deer, loads of invertebrates (dragon and damselflies, pond skaters, midges, flies etc), frogs, newts, grass snake","All of it, more often","Maybe, I would consider providing a blue space with more information or assistance","Make them wilder (tree and shrub cover for wildlife, and encourage plants and fallen branches within the water for the same reasons), but with access points. Stop clearing them out and controlling them.","2025-03-07 07:14:32 UTC","2025-03-07 07:34:47 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,7,1.4,5
"3","Respondent 3","I give consent to take part in this study",57,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","1","1","1","1","1",NA,52,52,12,12,12,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","small wild surprising","mighty important migration","kingfisher otter toad","marginal plants wild flowers otters","I already do","make banks more natural, add inaccessible places as refuges, improve runoff water quality, control mink","2025-03-12 14:15:56 UTC","2025-03-12 14:23:34 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,140,28,5
"4","Respondent 4","I give consent to take part in this study",26,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","2","1","2","2","3","2",NA,12,2,12,12,12,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","Geese, smelly, fun","Diversity, messy, free","Ducks, dragonflies, moorhens, rats","Small birds, birds of prey, badgers","I would if I had the space","More accessibility","2025-03-13 13:18:59 UTC","2025-03-13 13:27:23 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,50,10,5
"5","Respondent 5","I give consent to take part in this study",59,"Female","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","2","2","1","1","1","3",NA,2,2,12,52,12,"Yes",6,7,4,6,6,"I don't carry out any of these activities","Sorry I cant","Sorry I can’t","I have not","Birds","Maybe, I would consider providing a blue space with more information or assistance","Don’t know","2025-03-13 20:28:05 UTC","2025-03-13 20:31:39 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,80,16,5
"6","Respondent 6","I give consent to take part in this study",65,"Female","Yes","HU15","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","1","1","1",NA,12,0,52,2,2,"Yes",6,6,6,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","river humber","humber estuary","birds","more birds and butterflies","No","better use of flood areas","2025-03-13 20:27:56 UTC","2025-03-13 20:31:54 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,0,1,1,1,68,13.6,4
"7","Respondent 7","I give consent to take part in this study",40,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","1","1","1","3",NA,52,12,12,2,52,"Yes",7,7,4,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Serene beautiful vistas","Serene cathartic inspiring","Birds, fish, fauna","Deer","Maybe, I would consider providing a blue space with more information or assistance","Not sure","2025-03-13 20:27:00 UTC","2025-03-13 20:32:55 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,130,26,5
"8","Respondent 8","I give consent to take part in this study",65,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","3","3","2","3","4","3",NA,12,12,12,12,52,"Yes",1,1,3,5,6,"Exercise (e.g., walking, kayaking, swimming)","Park, pond, fountains","River, tides, wide","Seals, seagulls, gannets, dolphins  puffin","More birds","I already do","Wilder provision for the waterways in parks.","2025-03-13 20:29:00 UTC","2025-03-13 22:49:17 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,100,20,5
"9","Respondent 9","I give consent to take part in this study",54,"Female","Yes","YO4","Rural (i.e., mostly countryside with few houses or buildings)","No","No","1","1","1","1","1","1",NA,12,2,2,1,12,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Humber river","N/A","Butterflies, newts, insects","Bees","I would if I had the space","Educate people about them","2025-03-13 20:27:36 UTC","2025-03-14 08:49:20 UTC","3","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,29,5.8,5
"10","Respondent 10","I give consent to take part in this study",20,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","Yes","1","2","1","1","1","3",NA,12,12,12,12,12,"Yes",7,7,7,5,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","Urban concreted river","Marine estuary space","Birds mammals and insects","insects","I already do","Clean up and leave untouched","2025-03-15 14:37:10 UTC","2025-03-15 14:43:41 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,60,12,5
